,pubmedname,twitterhandle,handlename,descrip,location,follower,friend,K-index
16,Bong+Eun+Lee,@bonghanlee,Bong Lee,I am a nanotechnologist and scientific figure making enthusiast.,Texas Christian University,13,204,0.06371449793441963
17,Bongani+B.+Nkambule,@Nkambuleb,Bongani Nkambule,"Research Fellow @ The Framingham Heart Study🇺🇸. Associate Professor @ UKZN🇿🇦.
Struggling Entrepreneur🌪🌍","Boston, MA",74,129,0.8460308904130904
18,Bongjun+Kim,@iambongjun,Bongjun Kim,"AI researcher, 3M AI Lab | ML, Audio, Interactive intelligent system | Ph.D in CS from Northwestern Univ.","Chicago, IL",60,140,0.3437107228508956
19,Bonnie+J+Kaplan,@bonnie_kaplan,Bonnie Kaplan,"👆🏻 Follow me to learn about nutrition + mental health.
📕 Author, The Better Brain 
👩🏼‍🏫 Prof, U Calgary Sch of Medicine","Calgary, Alberta Canada",288,222,1.1926809545509336
20,Bonnie+L+Hurwitz,@hurwitzlab,Bonnie Hurwitz,"Associate Professor at University of Arizona and #phage hunter that loves #microbes, #metagenomics, #HPC computing, #cyberinfrastructure and #bigdata","Tucson, AZ",848,437,2.7844883517857917
21,Bonnie+Alexander,@BonnieAlexandr,Bonnie Alexander,"Neurosurgery Clinical Imaging Research Officer at Royal Children's Hospital, Melbourne. She/They. 🏳️‍🌈","Melbourne, Australia",243,271,1.7827956962116915
22,Bonnie+Berger,@lab_berger,Bonnie Berger Lab,The Berger lab at @MIT_CSAIL works on a diverse set of problems in computational biology. Account run by lab members.,MIT,144,3,0.25184980956786945
23,Bonnie+LaFleur,@bonnie_lafleur,Bonnie LaFleur,"I am a #statistician #scientist #runner  and burgeoning #environmentalist, mostly in that order.",,16,35,0.094034168239118
24,Bonnie+Lashewicz,@lashewicz,Bonnie Lashewicz,U of C Disability Studies Professor,,4,21,0.03804115553198952
25,Bonnie+Mappin,@BonMappin,Bonnie Mappin,PhD Candidate with @HugePossum @cyclonewatson @m_dimarco #Conservation #Science #Biodiversity,"Brisbane, Queensland",637,919,2.100776354950218
26,Bonnie+Spring,@bspring,Bonnie Spring,"Prof Preventive Med-Northwestern. Clinical psychologist.  Director Ctr Behav & Health. Past-prez SBM. mHealth, health  promotion, obesity, MOST methods",Chicago,170,105,0.450271746196687
27,Bonnie+Stevens,@stevensb25,Bonnie Stevens,I am a professor at UofT and a researcher at Sick Kids. I am passionate about decreasing pain in infants and finding ways of translating research to practice.,"Toronto, Ontario",147,38,0.5448913223804207
28,Bonnie+Wang,@BonnieWang666,bonnie wang,IT System Architecturer. Financial product manager. Crypto Researcher. Growth Officer. co-founder of https://t.co/2xWqPFnotG,Decentralized,21,108,0.08670902115151793
29,Bonnielin+Swenor,@BonnieSwenorPhD,Bonnielin Swenor PhD,Director @JHUDisability | Epidemiologist | Disability Equity Researcher | @SenseNetworkRes | Cohost @IncludedPod | #DocsWithDisabilities,,1555,2335,12.988975560809049
30,Bontha+V.+Babu,@BabuBontha_ICMR,Bontha Babu,"Head Scientist :: Socio-Behavioural & Health Systems Research @ Indian Council of Medical Research, New Delhi",,15,21,0.1524549359922708
31,Boon-Peng+Hoh,@HohBoon,Boon-Peng Hoh,"Professor of Molecular & Population Genetics
Faculty of Medicine, UCSI University, Kuala Lumpur",,2,28,0.015554759397931979
32,Bora+Gurel,@boragurel,Bora Gurel,"Microscope Jockey, Connoisseur of Formalin. Specializing in Uropathology. Clinician Scientist working in the De Bono lab @ICR_london #HerŞeyÇokGüzelOldu","Sutton, London",515,1998,1.9358583505906866
33,Bora+Kim,@BoraKimKB,Bora Kim,PhD student at the KLIVV. A cat lady investigating sexual imprinting in house mice.,"Vienna, Austria",32,77,0.1677081507049641
34,Bora+Uyar,@borauyar,Bora Uyar,"Bioinformatics Scientist at Max Delbruck Center for Molecular Medicine @MDC_Berlin, @BIMSB_MDC, @arcas_ai. 
alumnus of @embl, @SFU, @sabanciu","Berlin, Germany",387,1049,2.0096720466848104
35,Boram+Lee,@blee27081387,Boram Lee,Tweet about international negotiations/ Postdoctoral fellow at the Browne Center for International Politics @Penn,,182,257,0.7396807911215811
36,Boran+Kartal,@MicroPhys,Boran Kartal,"Head of Microbial Physiology Group @ Max Planck Institute for @MarineMicrobio
Professor @ Jacobs University @jacobs_bremen
@ERC_Research Grantee 2014",Germany,969,345,3.971942281302429
37,Boreddy+Siva+Rami+Reddy,@sivareddyg,Siva Reddy,Assistant Professor @MILAMontreal @McGillU; Postdoc @StanfordNLP; PhD  @EdinburghNLP; Natural Language Processor #NLProc,"Montreal, QC, Canada",3287,720,53.411282492594886
38,Boris+A.+Hadaschik,@ProfHadaschik,Boris Hadaschik,"Urologic oncologist & surgeon; Chairman, Department of Urology, Pediatric Urology and Urooncology, University Hospital Essen","Essen, Deutschland",327,97,0.7745767016840156
39,Boris+A.+Zelle,@BorisZelle,Boris Zelle,"Professor of Orthopaedics at UT Health San Antonio, Vice Chair of Research, Program Director of Orthopedic Trauma Fellowship",,137,230,1.468882347114075
40,Boris+C.+Bernhardt,@BorisBernhardt,Boris Bernhardt,Assistant Prof @TheNeuro_MNI | @CRC_CRC Cognitive Neuroinformatics | Views my own | 🏃strava🏃| register for our brain gradients workshop here: https://t.co/TFWBrz1L2l,Montréal,1582,399,6.180167941771135
41,Boris+Cheval,@chevalboris,Boris Cheval 🇨🇭🇫🇷🇪🇸,"Senior researcher in Health and Exercise Psychology at the University of Geneva and Hospital University of Geneva, Switzerland","Genève, Suisse",797,525,5.135756469460689
42,Boris+Hadaschik,@ProfHadaschik,Boris Hadaschik,"Urologic oncologist & surgeon; Chairman, Department of Urology, Pediatric Urology and Urooncology, University Hospital Essen","Essen, Deutschland",327,97,1.1576081588451752
43,Boris+Lenhard,@BorisLenhard,Boris Lenhard,Professor of Computational Biology at Imperial College London; Programme Leader at MRC London Institute of Medical Sciences. Opinions my own.,"London, UK",785,377,1.9326380072203262
44,Boris+Striepen,@striepenlab,Boris Striepen,Boris is a professor at the University of Pennsylvania who studies diseases caused by parasites. #cryptosporidium #toxoplasma #parasite,"Philadelphia, PA",2823,497,10.53110098397927
45,Boris+Zimmermann,@boris_prof,Luis Boris Zimmermann,Professor und business angel,,7,32,0.028252458712838484
46,Borja+Ibanez,@Borjaibanez1,Borja Ibanez,Cardiologist & Scientist. CNIC & FJD / FPdGi award in science 2010 / B.Sabadell award in Biomedical Research 2017 / Chairman ESC STEMI GL 2017. tweets on my own,"Madrid, España",2399,369,6.090579501899639
47,Borja+del+Pozo+Cruz,@delPozoCruz,Borja del Pozo Cruz,"Physical Activity, Sedentary Behaviour, and Public Health. Senior Lecturer, University of Auckland, NZ. Research and Innovation. Very excited with my job.","Auckland, New Zealand",138,216,0.8110447010623928
48,Borsika+A.+Rabin,@BorsikaRabin,Borsika Rabin,dissemination and implementation science researcher,"La Jolla, CA",445,166,2.104455973261768
49,Borsika+Rabin,@BorsikaRabin,Borsika Rabin,dissemination and implementation science researcher,"La Jolla, CA",445,166,1.5753383201409878
50,Boshen+Jiao,@BoshenJiao,Boshen Jiao,"PhD student in the CHOICE institute, University of Washington
Studying Health Economics and Outcomes Research","Seattle, WA",23,94,0.2730556352550754
51,Bouchra+Assarag,@AssaragBouchra,BOUCHRA ASSARAG,"MD;MPH;PhD on Public Health. researching maternal néonatal Child and adolescent Health, Epidémiology health. based at National School of Public Health, Morocco",Rabat - Salé - Kenitra,26,34,0.15082240000102265
52,Boudewijn+Catry,@boudewijncatry,boudewijn catry,"Scientist @Sciensano - Lecturer @ULBruxelles & beyond
https://t.co/QilIeSNxCi…
https://t.co/7N06aoxLm1…",,620,1421,2.498933613106082
53,Bowen+Chen,@bwchen0719,Bowen Chen,Data Scientist @ Bunge. All views are my own.,Missouri,391,716,2.5047985338720373
54,Bowen+Cheng,@80meat,bowen,"bowen 🏳️‍⚧️ (they/them)♡ spam: @pengornis - i like mdzs -
(ENG/ESP) ❤
22🇲🇽/🇺🇲",,1713,917,20.336708834432358
55,Bowen+Liu,@liubowen16,Bowen Liu,AI drug discovery @insitro. Previously @google; @stanforduchem PhD w/ @vijaypande and @jure; @aucklanduni. 🇳🇿,"Stanford, CA",228,311,0.9008721467665712
56,Bowen+Song,@BowenIslandSong,Bowen Song,CS PhD student @USCViterbi,,17,132,0.12058737123875939
57,Bowen+Wang,@bowenwang90,Bowen Wang,PhD student @USC @KECKSchool_USC,"Los Angeles, CA",10,132,0.03562980143422505
58,Bowen+Yu,@jediyubowen,Bowen Yu,"Assistant Professor, International Politics, Fudan University. Ph.D. from the @UofT_PolSci.",Shanghai China,301,299,2.8625969537822114
59,Bowen+Zhang,@charlzhang_,Bowen Zhang 张博文,PhD student @EducationUoM on internationalisation of Chinese higher education. MA @UofGEducation. External secretary @BPCS2019. she/her. WeChat Blog: 小行客,"Manchester, England",532,784,1.639836735083795
60,Boxiang+Liu,@boxiangliu,Boxiang Liu,"Genomics and NLP researcher. PhD from @Stanford, Research Scientist at @BaiduResearch.","Sunnyvale, CA, USA",149,268,1.261669093634196
61,Boxun+Zhang,@BoxunZhang,Boxun Zhang,Data Science lead at GoEuro; Spotify alumni; PhD in Computer Science. Opinions are my own.,"Helsinki, Finlande",119,425,1.0711687957290006
62,Boya+Li,@BoyaLiiiii,Boya Li,"Research assistant in EdUHK working on a project about higher education internationalisation in Hong Kong, interested in global citizenship and student mobility",Hong Kong,89,171,0.6780381296696744
63,Boya+Wang,@boyawang12,Boya Wang,MD PhD student at @NIHOxCam and @UNC_SOM Interested in cancer genomics and liquid biopsy,"Bethesda, MD",129,231,0.5748348086712625
64,Boya+Zhang,@BoyaZhang4,Boya Zhang,PhD student at Cambridge Advanced Imaging Centre @CamMicroscopy. Interested in localization microscopy and multicolor imaging. Opinions are my own.,"Angleterre, Royaume-Uni",11,53,0.068902050267315
65,Boyang+Li,@AlbertBoyangLi,"Boyang ""Albert"" Li","Nanyang Associate Prof, NRF Fellow, #NTUsg. #AI, #ML, Multimodal, Narrative Intelligence. Formerly Baidu & Disney Research. PhD Georgia Tech.",,155,122,0.9069440304035288
66,Boyang+Su,@boyang_su,Boyang Su,"PhD student, Chinese studies, Hong Kong issues, Hong Kong identity, Lau China Institute, King’s College London",London,68,75,0.3440311026868421
67,Boyang+Zhang,@BZhangLab,Boyang Zhang,Assistant Professor @ McMaster University | Developing human tissues in a dish,Toronto,899,762,5.048551674216629
68,Boyang+Zhou,@zhouboyang,Boyang Zhou,PhD candidate in socio-cultural anthropology in Durham University. Intern in Global Times Metro Shanghai.,UK,4,0,0.0373102741460271
69,Boyu+Chen,@chenboyu1,Boyu Chen,Associate Professor . University of Niigata Prefecture,Japon,22,100,0.20922635542594237
70,Boyu+Zhang,@bayes_posterior,Boyu Zhang,Incoming @medialab @MIT Affective Computing | Undergrad @UofR | He/Him | Views are mine | A friendly ordinary student :),"New York, USA",81,507,0.7703333995227878
71,Brad+Aisbett,@BradAisbett,Brad Aisbett,"Professor & Head of School, School of Exercise & Nutrition Sciences Deakin University. Views are my own",,707,494,4.452814051829042
72,Brad+Chapman,@chapmanb,Brad Chapman,Biologist and programmer,"Boston, MA",3077,532,14.006228442600461
73,Brad+Ridout,@DrBradRidout,Brad Ridout,"Child & Adolescent Psychologist, Cyberpsychology and Digital Health Researcher 
@Cyberpsych_Syd @Syd_Health @digitalhealthn","Sydney, New South Wales",363,120,2.273767658821395
74,Brad+Rodu,@BradRodu,Brad Rodu,"Professor of Medicine, Endowed Chair of Tobacco Harm Reduction Research, University of Louisville",,2440,115,8.508061646866567
75,Brad+Wright,@bradwrightphd,Brad Wright,"Health services researcher @UNC. Christ follower, daddy (x2), & husband (@WrightVtlala). 84% bad puns, 17% science, Dadisfaction™ guaranteed. Views=mine.","Chapel Hill, NC",1731,574,13.462644258910128
76,Bradford+J.+Wood,@BradfordJWood,Bradford Wood,Professor of Early American history at Eastern Kentucky University.,"Richmond, KY",93,174,0.4469801596359742
77,Bradford+S.+Hoppe,@HoppeBrad,Bradford Hoppe,"One-wheeler, lympho-maniac, Particle therapy guru, rad onc researcher, husband, dad x3 boys. Livin’ the beach/salt life. tweets=mine","Jacksonville Beach, FL",354,124,2.338002462706586
78,Bradford+Wood,@BradfordJWood,Bradford Wood,Professor of Early American history at Eastern Kentucky University.,"Richmond, KY",93,174,2.147806004618938
79,Bradley+B.+Olwin,@bradolwin,Bradley Olwin,"professor MCDB CU Boulder, ultra runner, skier, photography","Boulder, CO",284,169,0.8966134599608353
80,Bradley+C.+Johnston,@methodsnerd,Bradley Johnston,Assoc Prof Nutrition & Epidemiology; #EvidenceBasedNutrition 🥑cate; Director & co-founder https://t.co/yyh98GDLVp; Sangha member; Own views!,,395,361,3.299450383613874
81,Bradley+C.+Love,@ProfData,Bradley Love,"Fellow at Alan Turing Institute for data science and https://t.co/bA0Osp7KmB; Professor of Cognitive and Decision Sciences, University College London","London, UK",4696,1439,25.088415691794562
82,Bradley+C+Johnston,@methodsnerd,Bradley Johnston,Assoc Prof Nutrition & Epidemiology; #EvidenceBasedNutrition 🥑cate; Director & co-founder https://t.co/yyh98GDLVp; Sangha member; Own views!,,395,361,1.3368022333215224
83,Bradley+D.+Stein,@BradleyDStein,Bradley Stein,"Child & adolescent psychiatrist, @RANDCorporation Health Policy Researcher. Soccer/Tiger/Wolverine Dad. Opinions expressed are my own. RT not endorsements","Pittsburgh, PA",1027,822,6.782848952541423
84,Bradley+D+Allen,@bdallen6,Bradley Allen,husband|father|cardiothoracic radiologist and researcher@nu|tweets = mine,"Chicago, IL",197,174,4.549653579676675
85,Bradley+J.+Kerr,@BradleyKerr20,Bradley Kerr,"Associate Professor, pain researcher at the University of Alberta. Arriving a little late to this Twitter party.","Edmonton, Alberta",231,63,1.3179029020930562
86,Bradley+JSC+Olson,@multi_cellular,Bradley Olson,Associate Professor studying the evolution of multicellularity. Posts do not reflect my employer,"Manhattan, KS",216,240,1.2868684271800594
87,Bradley+S.+Launikonis,@BradleyLauniko1,Bradley Launikonis,Head of The Muscle Research Lab at The University of Queensland,"Brisbane, Queensland",202,201,0.9875436091064115
88,Bradley+Kerr,@BradleyKerr20,Bradley Kerr,"Associate Professor, pain researcher at the University of Alberta. Arriving a little late to this Twitter party.","Edmonton, Alberta",231,63,1.424159866229278
89,Bradley+McPherson,@dbmcpher,Bradley McPherson,"Bradley McPherson has worked as an audiologist in Australia, the UK, Africa, East Asia, and the Pacific.  Brad has written over 150 scientific publications.","Hong Kong SAR, China",17,26,0.0820972292161369
90,Bradley+Peter,@pbradl42,Peter Bradley,"Director of the Honors Program, Ferris State University. Former Assoc. Prof. of Philosophy. Views expressed here my own.","Rockford, MI",1083,1241,7.56311645043421
91,Bradley+Porter,@JBradleyPorter,J Bradley Porter,"An Educator, Advertising and Marketing Professional, Private Pilot, and Small Business Owner in New York. #BLM","Brooklyn, New York ",678,0,3.3146265691789454
92,Bradley+Smith,@howlingdingo,Dr. Bradley P. Smith,"Senior Lecturer (Psychology) at CQUniversity. Tweets dingoes, dogs, human-canid interactions, non-lethal control. Smith Human-Wildlife Coexistence Lab #dingo",Peramangk Land/Adelaide Hills,2120,1300,6.451865099058263
93,Brady+F.+Cress,@bradyfcress,Brady Cress,NIH Kirschstein-NRSA (F32) Postdoctoral Fellow @Doudna_lab @UCBerkeley | Chemical and Biological Engineer,,265,400,1.3520981243421835
94,Brahmajee+K.+Nallamothu,@bnallamo,Brahmajee Nallamothu,"Cardiologist, health services researcher, editor, second luckiest man alive...",,3292,737,14.5880139766737
95,Brahmajee+K+Nallamothu,@bnallamo,Brahmajee Nallamothu,"Cardiologist, health services researcher, editor, second luckiest man alive...",,3292,737,9.067248147988895
96,Brahmananda+Dutta,@DrBrahmananda,Dr. Brahmananda Dutta,"Principal:kalinga institute of sciences
Prof n HOD Dept of pedodontics n preventive dentistry",Patia Bhubaneswar ,22,2,0.2515226971498377
97,Brajesh+Kumar,@brajesh_dr,brajesh kumar,"Assistant Professor,Department of Neurosurgery, IGIMS, Patna.","Patna, India",45,51,0.3272653800995002
98,Bram+Beckers,@LabBram,BRAM,"Brain Research of Affective Mechanisms
@bramvervliet 's research group in @BiolPsychol at @PPW_KULeuven","Leuven, Belgium",213,272,0.8515773657899104
99,Bram+Rochwerg,@Bram_Rochwerg,Bram Rochwerg,"Critical Care MD/Researcher @McMasterU, sports fan (#ticats #bills #jays #raptors), husband, proud father of 4 boys. Budding #avgeek.","Hamilton, Ontario, Canada",2206,1014,6.399303858490809
100,Bram+Vanhoutte,@bvhoutte,Bram Vanhoutte,Associate Prof - School of Public Health - Université Libre de Bruxelles #Ageing #Wellbeing #Health #Housing #Migration #AdvancedQuantitativeMethods,"Brussels, BE",569,873,2.690866177047069
101,Bram+Vanschoenwinkel,@Bram_vsw,Bram Vanschoenwinkel,"Professor at @VUBrussel - scientist - ecologist - skeptic. Pro evidence, vaccines, evolution and GMOs, anti magic and homeopathy until proven otherwise.","Bruxelles, Belgique",96,54,0.8954465795046503
102,Bram+Verstockt,@bverstockt,Bram Verstockt,"MD, PhD Resident in Gastro and Hepato @UZLeuven with special interest in IBD. Postdoctoral fellow @ibdleuven @KU_Leuven. @Y_ECCO_IBD board member. Views my own.",Leuven,865,911,3.550771157770251
103,Brandi+L+Cantarel,@bcantarel,Brandi Cantarel,"Computational biologist in Dallas, TX -- interests include anything NGS including genomics, microbiome and expression.","Richardson, TX",173,96,0.8930229190634003
104,Brandon+J.+Dixon,@lymphengineer,Brandon Dixon,"Professor at Georgia Institute of Technology, Director of the Laboratory of Lymphatic Biology and Bioengineering, and Co-founder of LymphaTech","Atlanta, GA",310,192,1.2616692640062321
105,Brandon+J.+Henderson,@Dr_BHenderson,Brandon Henderson,"Asst Prof @MUSOMWV, Co-Chair @basicSRNT, neuropharmacologist, semi-retired rower,ex-pastor, bassist/guitarist, nerd, best of all: Dad of Twins 👶🏽👶🏽","Huntington, WV",445,259,2.7874011244504704
106,Brandon+K.+Fornwalt,@BrandonFornwalt,Brandon Fornwalt,"Dad, husband, physician and researcher","Lewisburg, PA",56,11,0.21716352077082207
107,Brandon+K+Fornwalt,@BrandonFornwalt,Brandon Fornwalt,"Dad, husband, physician and researcher","Lewisburg, PA",56,11,0.31694574417721366
108,Brandon+L.+Guthrie,@BrandonLGuthrie,Brandon Guthrie,I am an epidemiologist in the Departments of Global Health and Epidemiology at the University of Washington,,20,0,0.15087512348229337
109,Brandon+L.+Pierce,@BrandonL_Pierce,Brandon Pierce,Associate Professor of Public Health Sciences and Human Genetics. @UChicagoPHS @UCCancerCenter @HGEN_UChicago.  Genetic and Environmental Epidemiologist.,University of Chicago,411,338,1.3544571778353192
110,Brandon+M.+Welch,@WelchBM,Brandon M. Welch,Assistant Professor at MUSC enabling the promises of family health history and genomics through health IT,"Charleston, SC",118,171,0.645708506702353
111,Brandon+Allen,@brandon21allen,Brandon Allen,⚽️ Professional Soccer Player @Memphis901Fc #29 | @UnderArmour Athlete | @Georgetown Alum |,,1199,361,12.18623121698218
112,Brandon+Foreman,@NeuroLlama,Brandon Foreman,"Brandon Foreman MD FACNS FNCS. Neurointensivist, neurophysiologist, and Peruvian Fancy™ Llama. #neurocritical #ICU #FOAMed @COSBID @UC_CRANI","Cincinnati, OH",1058,420,4.241242894718823
113,Brandon+Malone,@Malonius2001,Brandon Malone,Technology Sales professional. Business News Addict. Hardcore Boston Sports Fan.  Blessed Family Man.,,95,637,0.4533925725756138
114,Brandon+Smith,@brandon_d_smith,Brandon Smith,"Orthodox, Evangelical, Baptist • Theology prof • Church Grammar host (https://t.co/DqWx4Duspa) • @BaptistRenewal director • Longsuffering Dallas sports fan",Κωνσταντινούπολη,4182,588,23.219701251295046
115,Brandon+Whitcher,@whitcher,Brandon Whitcher,"Statistician, craft beer fanatic, medical image analysis, early-phase drug development, data scientist, R/Python programmer",London,436,474,2.7460069683132424
116,Brandt+D.+Pence,@PenceBrandt,Brandt Pence,"Assistant Professor, University of Memphis, #aging and #immunometabolism",,82,229,0.36404175805879535
117,Brandt+F.+Eichman,@BFEichman,Brandt Eichman,Professor of Biological Sciences and Biochemistry at Vanderbilt University,"Nashville, TN",234,287,1.329655594576378
118,Branka+Horvat,@brankahorvat88,Branka HORVAT,INSERM Research Director  Immunovirology of Nipah and measles infection,"Lyon, France",143,19,0.6130131660621059
119,Branko+Celler,@BGC_49,Branko Celler,"Academic Researcher
Health Innovations",,39,35,0.2914093332441834
120,Branko+Rihtman,@CyanoNey,Branko Rihtman,"Eukaryote growing prokaryotes so I can infect them with phages. Postdoc at @Chen_group, working on phages of marine heterotrophs.
🇧🇦🇮🇱🇬🇧🇪🇺",Warwick University,1232,671,7.4093289183377635
121,Brant+E+Fries,@BrantFries,Brant Fries,"Professor at the University of Michigan and President, interRAI","Ann Arbor, Michigan",82,5,0.2427236404949297
122,Breanne+Hobden,@BreanneHobden,Breanne Hobden,"PhD Candidate
Ian Scott PhD Scholar (Australian Rotary Health)
Priority Research Centre for Health Behaviour (University of Newcastle)","Newcastle, New South Wales",6,37,0.0388951164209345
123,Bree+Holtz,@beholtz,Bree Holtz,"Associate Professor, Advertising + Public Relations at Michigan State University.  Studying the intersection of technology and health.",,322,484,1.0542873870231877
124,Brenda+D.+Moore,@moore_brenda,Brenda Moore,"Assistant Professor in the Golde lab @UF working on Alzheimer’s Disease. If I’m not in the lab I’ll be running, baking and watching college sports. Go Gators🐊","Gainesville, FL",87,127,0.536371897670767
125,Brenda+J.+Wilson,@uO_GeneSens,Brenda Wilson,"Public health researcher works on unbiased evidence for genomic technologies. Effectiveness, efficiency, ethical, legal, social issues.","Ottawa, Ontario",105,52,0.5034646145268971
126,Brenda+M.+Sandmaier,@BrendaMarie99,Brenda Sandmaier,Professor @fredhutch and Professor of Medicine at University of Washington. President-Elect @ASTCT,Mercer Island,177,199,0.5990227729060998
127,Brenda+R.+Hemmelgarn,@BHemmelgarn1,Brenda Hemmelgarn,"Dean, #UAlberta's Faculty of Medicine & Dentistry; Nephrologist",,813,95,2.3941071327607837
128,Brenda+R+Hemmelgarn,@BHemmelgarn1,Brenda Hemmelgarn,"Dean, #UAlberta's Faculty of Medicine & Dentistry; Nephrologist",,813,95,1.8566954455522438
129,Brenda+Y.+Hernandez,@BrendaH2O66,Brenda Hernandez,"Tejedora de tuits y PhD. en sartenazos 

 🦋🌎 #DDHH 🏳️‍🌈🍃",Guatemala,9618,608,41.938464707292745
130,Brenda+Y+Hernandez,@BrendaH2O66,Brenda Hernandez,"Tejedora de tuits y PhD. en sartenazos 

 🦋🌎 #DDHH 🏳️‍🌈🍃",Guatemala,9618,608,38.452915982006374
131,Brenda+Curtis,@B_Curtis03,Brenda Curtis,"Assistant Professor of Psychology
Department of Psychiatry - Addictions
Perelman School of Medicine
University of Pennsylvania",,33,34,0.15749426205258163
132,Brenda+Happell,@SynergyExecDir,Brenda Happell,"Professor of Nursing and Executive Director Synergy, University of Canberra and ACT Health",,120,130,0.5989014312499761
133,Brenda+Hemmelgarn,@BHemmelgarn1,Brenda Hemmelgarn,"Dean, #UAlberta's Faculty of Medicine & Dentistry; Nephrologist",,813,95,1.9940071914440112
134,Brenda+Wilson,@uO_GeneSens,Brenda Wilson,"Public health researcher works on unbiased evidence for genomic technologies. Effectiveness, efficiency, ethical, legal, social issues.","Ottawa, Ontario",105,52,0.6649996992659915
135,Brendan+A.+Daisley,@bdaisley,Brendan Daisley,PhD candidate @WesternU 🇨🇦 | Translational microbiology 🔬| Host-microbe interactions 🦠 | Saving the bees 🐝,"London, Ontario",236,263,1.3632131195444068
136,Brendan+F.+Wringe,@Brendan_Wringe,Brendan Wringe,Fisheries Biologist with soft spots for Aquaculture Environment Interactions and Evolutionary Ecology. Currently engaged in researching my own biography,,292,765,1.9410298288913512
137,Brendan+G.+Carr,@Dr_BrendanCarr,Brendan Carr,Professor and Chair of Emergency Medicine at Icahn School of Medicine and the Mount Sinai Health System (NYC). All tweets are mine alone.,"New York, USA",1806,1122,9.26796084597816
138,Brendan+G+Carr,@Dr_BrendanCarr,Brendan Carr,Professor and Chair of Emergency Medicine at Icahn School of Medicine and the Mount Sinai Health System (NYC). All tweets are mine alone.,"New York, USA",1806,1122,10.142029281018056
139,Brendan+M.+Gabriel,@DrBMGabriel,Brendan Gabriel,"Muscle metabolism and exercise physiology researcher. Working primarily with T2 Diabetes/obesity
@AberdeenUni & @KarolinskaInst","Aberdeen, Scotland",934,834,5.617137345558013
